Reviewer,Paper,Year,Continent,Country,Region,Latitude,Longitude,System,Sentinel Species,Taxonomy,Specific Taxonomy,Revised Taxnomy,Trophic Position,Body Size (kg),Diet Niche Breadth,Ecto vs. Endotherm?,Type of Indicator,Connection? A or B?,Evidence for C?,Ecosystem Component,Ecosystem Category,Environmental Change,Environmental Category,Sentinel Response,Sampling Method,Scale of Change,Description,Why a Good Sentinel?,Vote Counting,Value,Sample Size,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA,Cartwright et al. 2019,2019,North America,USA,Hawaii,20.52,-156.4,Marine,humpback whale,Mammal,cetacea,Cetacea,Secondary Consumer,30000,Generalist,Endotherm,Elucidating,B,Referenced,prey quality,Prey,"Pacific Decadal Oscillation, El Niño, SST",Ocean Temp,encounter rates,Space-Use,Years,whale encounter rates were negatively correlated with PDO values from 1 and 2 years prior,"""Changes in a key life-history trait such as the reproductive rate provide an easily detected signal of other more subtle changes, such as alterations in prey quality, which in turn may ultimately carry much broader impact""",1,0.27,8,,,,,,,,,,,,,,,,,
BA,Carroll et al. 2009,2009,Europe,Russia,Barents Sea,68.31,42.03,Marine,Greenland smooth cockle ,Invertebrate,bivalve,Bivalves,Primary Consumer,0.8,Generalist,Ectotherm,Elucidating,B,Referenced,"macrobenthic community, food availability",Prey,North Atlantic Oscillation,Ocean Temp,growth,Morphometrics,Years,bivalve growth was negatively correlated with the NAO index,"""One of the great advantages of biomonitors such as clam shells is that they provide a relatively uninterrupted record of biological (i.e. growth) and physical conditions while the animal was alive""",1,-0.447,59,,,,,,,,,,,,,,,,,
KAH,Jennings et al. 2012,2012,Europe,Scotland,Firth of Forth,56.0583,-3.0379,Marine,Common Tern,Bird,seabird,Seabirds,Secondary Consumer,0.12,Generalist,Endotherm,Elucidating,A,Quantified,prey abundance,Prey,fishing,NA,# breeding pairs,Population,Decades,# of breeding terns in a region (not colony level) decreased alongside a sprat fishery collapse,NA,1,NA,504,,,,,,,,,,,,,,,,,
TJCW,Glad & Mallard 2022,2022,Europe,France,French Alps,43.0657,-1.1229,Terrestrial,Alpine marmot,Mammal,rodent,Rodents,Omnivore,4,Generalist,Endotherm,Elucidating,B,Unfounded,mountain species,NA,"air temperature, precipitation",Air Temp,distribution,Space-Use,Years,marmot distribution was negatively impacted by increasing temperatures and rainfall,Its sensitivity to climate change and public awareness,1,NA,NA,,,,,,,,,,,,,,,,,
TJCW,Hilton et al. 2006,2006,Antarctica,Antarctica,Antarctica,-51.753,50.419,Marine,Rockhopper Penguin,Bird,seabird,Seabirds,Secondary Consumer,2.32,Generalist,Endotherm,Elucidating,B,Referenced,primary productivity,Prey,sea surface temperature,Ocean Temp,carbon stable isotopes,Diet,Years,"carbon stable isotopes were very slightly negatively correlated with sea surface temperatures, showing shifts in primary productivity",,0,-0.064,69,,,,,,,,,,,,,,,,,
TJCW,Hilton et al. 2006,2006,Antarctica,Antarctica,Antarctica,-51.753,50.419,Marine,Rockhopper Penguin,Bird,seabird,Seabirds,Secondary Consumer,2.32,Generalist,Endotherm,Elucidating,B,Referenced,"prey community, diet",Prey,sea surface temperature,Ocean Temp,nitrogen stable isotopes,Diet,Years,"nitrogen stable isotopes were negatively correlated with sea surface temperatures, indicating shifts in diet",,1,-0.325,69,,,,,,,,,,,,,,,,,
TJCW,Wolf et al. 2010,2010,North America,USA,California coast,37.7,-123,Marine,Cassin's auklet,Bird,seabird,Seabirds,Secondary Consumer,0.18,Generalist,Endotherm,Elucidating,B,Referenced,"ocean productivity, return rates of salmon",Prey,sea surface temperature,Ocean Temp,breeding success,Reproduction,Years,"increasing SST decreases demographic rates of cassin's auklet, responding to ocean productivity, related to salmon abundance",sensitive to ocean climate change,1,-0.538,26,,,,,,,,,,,,,,,,,
TJCW,Wolf et al. 2010,2010,North America,USA,California coast,37.7,-123,Marine,Cassin's auklet,Bird,seabird,Seabirds,Secondary Consumer,0.18,Generalist,Endotherm,Elucidating,B,Referenced,"ocean productivity, return rates of salmon",Prey,sea surface temperature,Ocean Temp,adult survival,Survival,Years,"increasing SST decreases demographic rates of cassin's auklet, responding to ocean productivity, related to salmon abundance",sensitive to ocean climate change,1,-0.661,26,,,,,,,,,,,,,,,,,
TJCW,Wolf et al. 2010,2010,North America,USA,California coast,37.7,-123,Marine,Cassin's auklet,Bird,seabird,Seabirds,Secondary Consumer,0.18,Generalist,Endotherm,Elucidating,B,Referenced,"ocean productivity, return rates of salmon",Prey,upwelling,Ocean Habitat,breeding success,Reproduction,Years,upwelling is slightly related to demographic rates of cassin's auklets....,sensitive to ocean climate change,1,-0.447,26,,,,,,,,,,,,,,,,,
